config,fusion_on,kalman_on,xai_adaptive,scenario,seed,MOTA,MOTP_IoU,IDF1,IDSW,FP,FN
fu0_ka0_xa1,False,False,True,low_snr,3,,,,0,0,0
fu0_ka1_xa0,False,True,False,low_snr,3,,,,0,0,0
fu0_ka1_xa1,False,True,True,low_snr,3,,,,0,0,0
fu1_ka0_xa0,True,False,False,low_snr,3,,,,0,0,0
fu1_ka0_xa1,True,False,True,low_snr,3,,,,0,0,0
fu1_ka1_xa0,True,True,False,low_snr,3,,,,0,0,0
fu1_ka1_xa1,True,True,True,low_snr,3,,,,0,0,0
fu0_ka0_xa0,False,False,False,single_threat,4,0.7849462365591398,0.7406251620548079,0.8823529411764706,0,2,18
fu0_ka0_xa1,False,False,True,single_threat,4,0.8064516129032258,0.740616483039581,0.8977272727272727,0,4,14
fu0_ka1_xa0,False,True,False,single_threat,4,0.8279569892473118,0.9074528002894736,0.9058823529411765,0,0,16
fu0_ka1_xa1,False,True,True,single_threat,4,0.8494623655913979,0.9076276943969518,0.9204545454545454,0,2,12
fu1_ka0_xa0,True,False,False,single_threat,4,0.9032258064516129,0.7374582506788012,0.9502762430939227,0,2,7
fu1_ka0_xa1,True,False,True,single_threat,4,0.8924731182795699,0.7380126655612926,0.9456521739130435,0,4,6
fu1_ka1_xa0,True,True,False,single_threat,4,0.946236559139785,0.9066657102674287,0.9723756906077348,0,0,5
fu1_ka1_xa1,True,True,True,single_threat,4,0.935483870967742,0.9069205008243899,0.967391304347826,0,2,4
fu0_ka0_xa0,False,False,False,multi_threat,4,-0.1797752808988764,0.7083617795135227,0.27251732101616627,0,214,416
fu0_ka0_xa1,False,False,True,multi_threat,4,-0.26779026217228474,0.7088485658575308,0.26492942453854507,0,265,412
fu0_ka1_xa0,False,True,False,multi_threat,4,0.4606741573033708,0.7559757652068557,0.6674364896073903,0,43,245
fu0_ka1_xa1,False,True,True,multi_threat,4,0.552434456928839,0.7443174455023156,0.740499457111835,0,46,193
fu1_ka0_xa0,True,False,False,multi_threat,4,-0.37265917602996246,0.6883453660512554,0.29586935638808837,0,353,380
fu1_ka0_xa1,True,False,True,multi_threat,4,-0.4101123595505618,0.6977784017980176,0.28353948620361563,0,368,385
